split,stage,band,n,spearman_valence_vs_pole,perm_p_valence_vs_pole,spearman_valence_vs_rating,perm_p_valence_vs_rating,spearman_valence_vs_signed_intensity,perm_p_valence_vs_signed_intensity,eta2_pole,eta2_persona
round1_to_round2,choice1,L20-32,36,0.7958022105405076,0.0001999600079984003,0.7953248079590025,0.0001999600079984003,0.6694147824819799,0.0001999600079984003,0.6637875341033123,0.1521289510118182
round1_to_round2,choice1,L33-40,36,0.736853898648618,0.0001999600079984003,0.6967901904766926,0.0001999600079984003,0.6051236724435303,0.0001999600079984003,0.6190398302790072,0.09683065606979635
round1_to_round2,choice1,L55-63,36,0.651706337027,0.0001999600079984003,0.6036770099947848,0.0001999600079984003,0.5645809112152018,0.0003999200159968006,0.5029638785731174,0.13645338591590192
round1_to_round2,choice1,L70-79,36,0.6320568997297036,0.0003999200159968006,0.5700641005922912,0.0005998800239952009,0.533485006972115,0.0003999200159968006,0.4730016365830097,0.15040176306673742
round1_to_round2,choice1,L9-13,36,0.8776748659459096,0.0001999600079984003,0.530216538639335,0.001799640071985603,0.6461912590599278,0.0001999600079984003,0.7349997163310475,0.050450912099941056
round1_to_round2,choice2,L20-32,36,0.815451647837804,0.0001999600079984003,0.7098016392776578,0.0001999600079984003,0.61942516426841,0.0001999600079984003,0.5958080069901986,0.1312107015699086
round1_to_round2,choice2,L33-40,36,0.6844553991891608,0.0001999600079984003,0.6477261856230527,0.0003999200159968006,0.5080309756507696,0.001799640071985603,0.4099481286753452,0.08941384934941397
round1_to_round2,choice2,L55-63,36,0.6451565245945678,0.0001999600079984003,0.6248206142963534,0.0001999600079984003,0.5304672609907184,0.0013997200559888023,0.3241446295576502,0.07662006141457628
round1_to_round2,choice2,L70-79,36,0.6713557743242965,0.0001999600079984003,0.6175016743458104,0.0003999200159968006,0.5602511017636328,0.0007998400319936012,0.37365230701486585,0.07684555977600016
round1_to_round2,choice2,L9-13,36,0.8776748659459096,0.0001999600079984003,0.6157397073206797,0.0001999600079984003,0.6497338304293934,0.0001999600079984003,0.7830388346001589,0.05237209275486834
round1_to_round2,manip1,L20-32,36,0.7401288048648342,0.0001999600079984003,0.4469974806831613,0.007798440311937612,0.4981904996244763,0.0023995200959808036,0.5330173882664668,0.007335534937487828
round1_to_round2,manip1,L33-40,36,0.7008299302702412,0.0001999600079984003,0.4475396243832015,0.006798640271945611,0.5305984673377356,0.0011997600479904018,0.5283580185959933,0.03214628862453362
round1_to_round2,manip1,L55-63,36,0.6975550240540251,0.0001999600079984003,0.45878910615903606,0.0065986802639472104,0.5594638636815293,0.0005998800239952009,0.5188933776608395,0.08295171858560171
round1_to_round2,manip1,L70-79,36,0.6615310556756483,0.0001999600079984003,0.4052524157800644,0.015196960607878424,0.5651057366032708,0.0003999200159968006,0.48914650915740227,0.10055063293467863
round1_to_round2,manip1,L9-13,36,0.5370846194594372,0.0011997600479904018,0.202219600115002,0.23875224955008997,0.2991504711993168,0.08038392321535692,0.44972663122758,5.534849200540053e-05
round1_to_round2,manip2,L20-32,36,0.854750522432397,0.0001999600079984003,0.6482683293230929,0.0001999600079984003,0.5815065299804264,0.0001999600079984003,0.6869942617889188,0.011753397441260778
round1_to_round2,manip2,L33-40,36,0.8809497721621257,0.0001999600079984003,0.6871671398009787,0.0001999600079984003,0.6660034174595316,0.0001999600079984003,0.7093394543724652,0.030699383838439297
round1_to_round2,manip2,L55-63,36,0.8383759913513166,0.0001999600079984003,0.7103437829776981,0.0001999600079984003,0.7453832574049644,0.0001999600079984003,0.6800646764293927,0.09256134472563665
round1_to_round2,manip2,L70-79,36,0.8220014602702362,0.0001999600079984003,0.6749689065500737,0.0001999600079984003,0.7369860511958608,0.0001999600079984003,0.6915921144014211,0.12480884195063158
round1_to_round2,manip2,L9-13,36,0.9005992094594221,0.0001999600079984003,0.5494626399907628,0.0007998400319936012,0.5573645621292534,0.0001999600079984003,0.7501375641494512,0.0008125263115609007
round1_to_round2,report,L20-32,36,0.6582561494594321,0.0001999600079984003,0.7653713685317804,0.0001999600079984003,0.5366339593005288,0.0013997200559888023,0.39081296306655217,0.3240650379380757
round1_to_round2,report,L33-40,36,0.5632838691891658,0.0009998000399920016,0.8784083299901663,0.0001999600079984003,0.7459080827930333,0.0001999600079984003,0.4081748865719283,0.27067912118942217
round1_to_round2,report,L55-63,36,0.5436344318918693,0.0007998400319936012,0.8622795549139697,0.0001999600079984003,0.7455144637519816,0.0001999600079984003,0.33508939904074203,0.37398058065677736
round1_to_round2,report,L70-79,36,0.5076104635134925,0.0015996800639872025,0.8808479766403472,0.0001999600079984003,0.7533868445730163,0.0001999600079984003,0.31695358127747614,0.3791450018261462
round1_to_round2,report,L9-13,36,0.8940493970269899,0.0001999600079984003,0.5891746660187089,0.0003999200159968006,0.640943005179238,0.0001999600079984003,0.7387168399379123,0.04298709590699402
round2_to_round1,choice1,L20-32,36,0.7925273043242914,0.0001999600079984003,0.7469410093657152,0.0001999600079984003,0.6658647775806426,0.0001999600079984003,0.6382727431522393,0.17894324902622322
round2_to_round1,choice1,L33-40,36,0.7172044613513217,0.0001999600079984003,0.7368161990092307,0.0001999600079984003,0.712687539828843,0.0001999600079984003,0.5892483101411838,0.09048010305079167
round2_to_round1,choice1,L55-63,36,0.6222321810810553,0.0003999200159968006,0.6401580094726588,0.0001999600079984003,0.6198378696482754,0.0001999600079984003,0.48777636678962705,0.09299077154134838
round2_to_round1,choice1,L70-79,36,0.5927580251351106,0.0003999200159968006,0.6139685000172189,0.0003999200159968006,0.6198378696482754,0.0001999600079984003,0.4651015570651422,0.09160805524530931
round2_to_round1,choice1,L9-13,36,0.9267984591891507,0.0001999600079984003,0.5856190310190624,0.0001999600079984003,0.6555186714748078,0.0001999600079984003,0.804690200898879,0.025929971852934035
round2_to_round1,choice2,L20-32,36,0.7303040862161859,0.0001999600079984003,0.7600357640934351,0.0001999600079984003,0.6422544328775839,0.0003999200159968006,0.5259546885906995,0.15852118461054063
round2_to_round1,choice2,L33-40,36,0.651706337027,0.0003999200159968006,0.677957301470201,0.0001999600079984003,0.6033902137877177,0.0005998800239952009,0.40566797757869516,0.09474783709716664
round2_to_round1,choice2,L55-63,36,0.6255070872972713,0.0003999200159968006,0.7266913886527462,0.0001999600079984003,0.6149301013673025,0.0003999200159968006,0.3688616504835704,0.07086481535183933
round2_to_round1,choice2,L70-79,36,0.6418816183783518,0.0003999200159968006,0.7113016769108897,0.0001999600079984003,0.6153280285252193,0.0003999200159968006,0.41021427894432055,0.07108847954197178
round2_to_round1,choice2,L9-13,36,0.9169737405405025,0.0001999600079984003,0.7387061636091078,0.0001999600079984003,0.7164015266360658,0.0001999600079984003,0.8624180972391126,0.047805108278159474
round2_to_round1,manip1,L20-32,36,0.769602960810779,0.0001999600079984003,0.5294600829084285,0.0009998000399920016,0.508285623045622,0.002999400119976005,0.536670488303213,0.007707202502120287
round2_to_round1,manip1,L33-40,36,0.7139295551351056,0.0001999600079984003,0.5092104621954595,0.0013997200559888023,0.4871954836760358,0.0027994401119776045,0.5292963735976943,0.03134851347994901
round2_to_round1,manip1,L55-63,36,0.7106546489188894,0.0001999600079984003,0.5367499463650973,0.0013997200559888023,0.5263249875378465,0.0015996800639872025,0.528902028000314,0.06958617109803471
